name,slug,value,date_of_information,ranking,region
"United States","united-states","$20,275,951,000,000","2019",1,"North America"
"United Kingdom","united-kingdom","$8,722,000,000,000","2019",2,"Europe"
"France","france","$6,356,000,000,000","2019",3,"Europe"
"Germany","germany","$5,671,463,000,000","2019",4,"Europe"
"Netherlands","netherlands","$4,345,413,000,000","2019",5,"Europe"
"Luxembourg","luxembourg","$4,266,792,000,000","2019",6,"Europe"
"Japan","japan","$4,254,271,000,000","2019",7,"East and Southeast Asia"
"Australia","australia","$3,115,913,000,000","2019",8,"Australia and Oceania"
"Ireland","ireland","$2,829,000,000,000","2019",9,"Europe"
"Italy","italy","$2,463,208,000,000","2019",10,"Europe"
"Spain","spain","$2,338,000,000,000","2019",11,"Europe"
"Canada","canada","$2,124,887,000,000","2019",12,"North America"
"China","china","$2,027,950,000,000","2019",13,"East and Southeast Asia"
"Switzerland","switzerland","$1,909,000,000,000","2019",14,"Europe"
"Hong Kong","hong-kong","$1,648,409,000,000","2019",15,"East and Southeast Asia"
"Singapore","singapore","$1,557,646,000,000","2019",16,"East and Southeast Asia"
"Belgium","belgium","$1,317,513,000,000","2019",17,"Europe"
"Sweden","sweden","$911,317,000,000","2019",18,"Europe"
"Austria","austria","$688,434,000,000","2019",19,"Europe"
"Brazil","brazil","$681,336,000,000","2019",20,"South America"
"Norway","norway","$651,040,000,000","2019",21,"Europe"
"Finland","finland","$631,549,000,000","2019",22,"Europe"
"India","india","$555,388,000,000","2019",23,"South Asia"
"Denmark","denmark","$504,808,000,000","2019",24,"Europe"
"Greece","greece","$484,888,000,000","2019",25,"Europe"
"Russia","russia","$479,844,000,000","2019",26,"Central Asia"
"Portugal","portugal","$462,431,000,000","2019",27,"Europe"
"Korea, South","korea-south","$457,745,000,000","2019",28,"East and Southeast Asia"
"Mexico","mexico","$456,713,000,000","2019",29,"North America"
"Turkey (Turkiye)","turkey-turkiye","$438,677,000,000","2019",30,"Middle East"
"Indonesia","indonesia","$393,252,000,000","2019",31,"East and Southeast Asia"
"Poland","poland","$351,770,000,000","2019",32,"Europe"
"Argentina","argentina","$278,524,000,000","2019",33,"South America"
"United Arab Emirates","united-arab-emirates","$237,600,000,000","31 December 2017",34,"Middle East"
"Mauritius","mauritius","$226,799,000,000","2019",35,"Africa"
"Malaysia","malaysia","$224,596,000,000","2019",36,"East and Southeast Asia"
"Cyprus","cyprus","$213,190,000,000","2019",37,"Europe"
"Saudi Arabia","saudi-arabia","$205,100,000,000","31 December 2017",38,"Middle East"
"Chile","chile","$193,298,000,000","2019",39,"South America"
"Czechia","czechia","$191,871,000,000","2019",40,"Europe"
"New Zealand","new-zealand","$190,621,000,000","2019",41,"Australia and Oceania"
"Taiwan","taiwan","$189,684,000,000","2019",42,"East and Southeast Asia"
"South Africa","south-africa","$179,871,000,000","2019",43,"Africa"
"Thailand","thailand","$167,890,000,000","2019",44,"East and Southeast Asia"
"Qatar","qatar","$167,800,000,000","31 December 2017",45,"Middle East"
"Kazakhstan","kazakhstan","$159,351,000,000","2019",46,"Central Asia"
"Colombia","colombia","$135,644,000,000","2019",47,"South America"
"Israel","israel","$132,500,000,000","31 December 2020",48,"Middle East"
"Hungary","hungary","$123,256,000,000","2019",49,"Europe"
"Romania","romania","$117,829,000,000","2019",50,"Europe"
"Ukraine","ukraine","$117,410,000,000","2019",51,"Europe"
"Slovakia","slovakia","$115,853,000,000","2019",52,"Europe"
"Egypt","egypt","$109,238,000,000","2019",53,"Africa"
"Pakistan","pakistan","$107,527,000,000","2019",54,"South Asia"
"Panama","panama","$101,393,000,000","2019",55,"Central America and the Caribbean"
"Venezuela","venezuela","$100,300,000,000","31 December 2017",56,"South America"
"Malta","malta","$98,179,000,000","2019",57,"Europe"
"Vietnam","vietnam","$96,580,000,000","31 December 2017",58,"East and Southeast Asia"
"Philippines","philippines","$81,995,000,000","2019",59,"East and Southeast Asia"
"Peru","peru","$81,333,000,000","2019",60,"South America"
"Iraq","iraq","$73,020,000,000","31 December 2017",61,"Middle East"
"Puerto Rico","puerto-rico","$56,820,000,000","31 December 2010",62,"Central America and the Caribbean"
"Sudan","sudan","$56,050,000,000","31 December 2017",63,"Africa"
"Sri Lanka","sri-lanka","$55,332,000,000","2019",64,"South Asia"
"Morocco","morocco","$52,957,000,000","2019",65,"Africa"
"Bahrain","bahrain","$52,150,000,000","31 December 2017",66,"Middle East"
"Ecuador","ecuador","$50,667,000,000","2019",67,"South America"
"Bangladesh","bangladesh","$50,260,000,000","31 December 2017",68,"South Asia"
"Slovenia","slovenia","$48,656,000,000","2019",69,"Europe"
"Croatia","croatia","$48,263,000,000","2019",70,"Europe"
"Kuwait","kuwait","$47,240,000,000","31 December 2017",71,"Middle East"
"Oman","oman","$46,270,000,000","31 December 2017",72,"Middle East"
"Uruguay","uruguay","$43,705,000,000","2019",73,"South America"
"Angola","angola","$42,080,000,000","31 December 2017",74,"Africa"
"Latvia","latvia","$40,164,000,000","2019",75,"Europe"
"Belarus","belarus","$39,847,000,000","2019",76,"Europe"
"Bulgaria","bulgaria","$39,059,000,000","2019",77,"Europe"
"Lithuania","lithuania","$37,859,000,000","2019",78,"Europe"
"Tunisia","tunisia","$35,911,000,000","2019",79,"Africa"
"Lebanon","lebanon","$33,077,000,000","2019",80,"Middle East"
"Jordan","jordan","$32,088,000,000","2019",81,"Middle East"
"Serbia","serbia","$30,927,000,000","2019",82,"Europe"
"Cuba","cuba","$30,060,000,000","31 December 2017",83,"Central America and the Caribbean"
"Mongolia","mongolia","$29,945,000,000","2019",84,"East and Southeast Asia"
"Costa Rica","costa-rica","$29,589,000,000","2019",85,"Central America and the Caribbean"
"Kenya","kenya","$29,289,000,000","2019",86,"Africa"
"Ethiopia","ethiopia","$27,270,000,000","2019",87,"Africa"
"Nigeria","nigeria","$26,847,000,000","2019",88,"Africa"
"Estonia","estonia","$23,944,000,000","2019",89,"Europe"
"Dominican Republic","dominican-republic","$23,094,000,000","2019",90,"Central America and the Caribbean"
"Guatemala","guatemala","$22,920,000,000","31 December 2017",91,"Central America and the Caribbean"
"Tanzania","tanzania","$22,054,000,000","2019",92,"Africa"
"Ghana","ghana","$20,467,000,000","2019",93,"Africa"
"Iceland","iceland","$19,422,000,000","2019",94,"Europe"
"Palau","palau","$18,380,000,000","31 December 2014",95,"Australia and Oceania"
"Georgia","georgia","$18,149,000,000","2019",96,"Middle East"
"Papua New Guinea","papua-new-guinea","$17,940,000,000","31 December 2017",97,"East and Southeast Asia"
"Bahamas, The","bahamas-the","$17,560,000,000","31 December 2013",98,"Central America and the Caribbean"
"Azerbaijan","azerbaijan","$17,410,000,000","31 December 2017",99,"Middle East"
"El Salvador","el-salvador","$17,240,000,000","2019",100,"Central America and the Caribbean"
"Uzbekistan","uzbekistan","$16,900,000,000","31 December 2017",101,"Central Asia"
"Paraguay","paraguay","$16,622,000,000","2019",102,"South America"
"Laos","laos","$14,900,000,000","31 December 2017",103,"East and Southeast Asia"
"Jamaica","jamaica","$13,876,000,000","2019",104,"Central America and the Caribbean"
"Cote d'Ivoire","cote-divoire","$13,070,000,000","31 December 2017",105,"Africa"
"Bolivia","bolivia","$12,810,000,000","31 December 2017",106,"South America"
"Cambodia","cambodia","$11,870,000,000","31 December 2017",107,"East and Southeast Asia"
"Nicaragua","nicaragua","$11,674,000,000","2019",108,"Central America and the Caribbean"
"Zambia","zambia","$11,660,000,000","31 December 2017",109,"Africa"
"Armenia","armenia","$11,637,000,000","2019",110,"Middle East"
"Mozambique","mozambique","$10,910,000,000","31 December 2017",111,"Africa"
"Bosnia and Herzegovina","bosnia-and-herzegovina","$10,870,000,000","31 December 2017",112,"Europe"
"Cameroon","cameroon","$9,375,000,000","31 December 2017",113,"Africa"
"Zimbabwe","zimbabwe","$9,357,000,000","31 December 2017",114,"Africa"
"Albania","albania","$9,311,000,000","2019",115,"Europe"
"Honduras","honduras","$9,137,000,000","2019",116,"Central America and the Caribbean"
"North Macedonia","north-macedonia","$9,065,000,000","2019",117,"Europe"
"Senegal","senegal","$8,571,000,000","31 December 2017",118,"Africa"
"Kyrgyzstan","kyrgyzstan","$8,372,000,000","2019",119,"Central Asia"
"Trinidad and Tobago","trinidad-and-tobago","$8,238,000,000","31 December 2017",120,"Central America and the Caribbean"
"Iran","iran","$7,995,000,000","31 December 2017",121,"Middle East"
"Namibia","namibia","$7,969,000,000","31 December 2017",122,"Africa"
"Moldova","moldova","$7,232,000,000","2019",123,"Europe"
"Yemen","yemen","$7,181,000,000","31 December 2016",124,"Middle East"
"Burma","burma","$6,594,000,000","31 December 2017",125,"East and Southeast Asia"
"Gabon","gabon","$6,490,000,000","31 December 2017",126,"Africa"
"Tajikistan","tajikistan","$6,470,000,000","2019",127,"Central Asia"
"Uganda","uganda","$6,241,000,000","31 December 2016",128,"Africa"
"Nepal","nepal","$5,849,000,000","31 December 2017",129,"South Asia"
"Algeria","algeria","$5,574,000,000","2019",130,"Africa"
"Somalia","somalia","$5,300,000,000","31 December 2014",131,"Africa"
"Korea, North","korea-north","$5,000,000,000","2013",132,"East and Southeast Asia"
"Syria","syria","$4,989,000,000","31 December 2017",133,"Middle East"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","$4,963,000,000","31 December 2017",134,"Africa"
"Seychelles","seychelles","$4,802,000,000","2019",135,"Africa"
"Congo, Republic of the","congo-republic-of-the","$4,605,000,000","31 December 2017",136,"Africa"
"Barbados","barbados","$4,490,000,000","2010",137,"Central America and the Caribbean"
"Mali","mali","$4,192,000,000","31 December 2017",138,"Africa"
"Mauritania","mauritania","$4,150,000,000","31 December 2017",139,"Africa"
"Niger","niger","$3,728,000,000","31 December 2017",140,"Africa"
"Rwanda","rwanda","$3,258,000,000","31 December 2017",141,"Africa"
"Madagascar","madagascar","$3,085,000,000","2019",142,"Africa"
"Burkina Faso","burkina-faso","$3,056,000,000","31 December 2017",143,"Africa"
"Libya","libya","$3,020,000,000","31 December 2017",144,"Africa"
"Benin","benin","$2,804,000,000","31 December 2017",145,"Africa"
"Haiti","haiti","$2,762,000,000","31 December 2017",146,"Central America and the Caribbean"
"Bhutan","bhutan","$2,671,000,000","31 December 2017",147,"South Asia"
"Montenegro","montenegro","$2,516,000,000","31 December 2017",148,"Europe"
"Bermuda","bermuda","$2,515,000,000","2017",149,"North America"
"Kosovo","kosovo","$2,388,000,000","2019",150,"Europe"
"Botswana","botswana","$2,187,000,000","31 December 2017",151,"Africa"
"Malawi","malawi","$2,102,000,000","31 December 2017",152,"Africa"
"Djibouti","djibouti","$1,954,000,000","31 December 2017",153,"Africa"
"Chad","chad","$1,724,000,000","31 December 2017",154,"Africa"
"Cabo Verde","cabo-verde","$1,713,000,000","31 December 2017",155,"Africa"
"Suriname","suriname","$1,700,000,000","31 December 2017",156,"South America"
"Guyana","guyana","$1,690,000,000","31 December 2017",157,"South America"
"West Bank","west-bank","$1,662,000,000","31 March 2016",158,"Middle East"
"Sierra Leone","sierra-leone","$1,615,000,000","31 December 2017",159,"Africa"
"Guinea","guinea","$1,458,000,000","31 December 2017",160,"Africa"
"Togo","togo","$1,442,000,000","31 December 2017",161,"Africa"
"Belize","belize","$1,315,000,000","31 December 2017",162,"Central America and the Caribbean"
"Equatorial Guinea","equatorial-guinea","$1,211,000,000","31 December 2017",163,"Africa"
"Guinea-Bissau","guinea-bissau","$1,095,000,000","31 December 2010",164,"Africa"
"Fiji","fiji","$1,022,000,000","31 December 2017",165,"Australia and Oceania"
"Lesotho","lesotho","$868,000,000","2019",166,"Africa"
"Maldives","maldives","$848,800,000","31 December 2016",167,"South Asia"
"Liberia","liberia","$826,000,000","2019",168,"Africa"
"Grenada","grenada","$793,500,000","2017",169,"Central America and the Caribbean"
"Eritrea","eritrea","$792,700,000","31 December 2017",170,"Africa"
"Central African Republic","central-african-republic","$779,900,000","31 December 2017",171,"Africa"
"Solomon Islands","solomon-islands","$757,000,000","31 December 2017",172,"Australia and Oceania"
"Aruba","aruba","$693,200,000","31 December 2014",173,"Central America and the Caribbean"
"Burundi","burundi","$610,900,000","31 December 2017",174,"Africa"
"Gambia, The","gambia-the","$586,800,000","31 December 2017",175,"Africa"
"Saint Lucia","saint-lucia","$570,600,000","31 December 2017",176,"Central America and the Caribbean"
"Turkmenistan","turkmenistan","$539,400,000","31 December 2017",177,"Central Asia"
"Eswatini","eswatini","$535,000,000","2019",178,"Africa"
"Antigua and Barbuda","antigua-and-barbuda","$458,000,000","June 2010",179,"Central America and the Caribbean"
"Samoa","samoa","$447,200,000","31 December 2013",180,"Australia and Oceania"
"Faroe Islands","faroe-islands","$387,600,000","2012",181,"Europe"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","$362,200,000","31 December 2017",182,"Central America and the Caribbean"
"Timor-Leste","timor-leste","$311,500,000","31 December 2014",183,"East and Southeast Asia"
"Sao Tome and Principe","sao-tome-and-principe","$292,900,000","31 December 2017",184,"Africa"
"Afghanistan","afghanistan","$284,000,000","FY10/11",185,"South Asia"
"Dominica","dominica","$280,400,000","31 December 2017",186,"Central America and the Caribbean"
"Saint Kitts and Nevis","saint-kitts-and-nevis","$201,800,000","31 December 2017",187,"Central America and the Caribbean"
"Vanuatu","vanuatu","$200,500,000","31 December 2017",188,"Australia and Oceania"
"Comoros","comoros","$199,800,000","31 December 2017",189,"Africa"
"Tonga","tonga","$189,900,000","31 December 2017",190,"Australia and Oceania"
"Cook Islands","cook-islands","$141,000,000","1996",191,"Australia and Oceania"
"New Caledonia","new-caledonia","$112,000,000","31 December 2013",192,"Australia and Oceania"
"Marshall Islands","marshall-islands","$97,960,000","2013",193,"Australia and Oceania"
"Micronesia, Federated States of","micronesia-federated-states-of","$93,600,000","2013",194,"Australia and Oceania"
"Anguilla","anguilla","$41,040,000","31 December 2013",195,"Central America and the Caribbean"
"Kiribati","kiribati","$40,900,000","2016",196,"Australia and Oceania"
"Greenland","greenland","$36,400,000","2010",197,"North America"
"British Virgin Islands","british-virgin-islands","$36,100,000","1997",198,"Central America and the Caribbean"
"Nauru","nauru","$33,300,000","2004",199,"Australia and Oceania"
"Montserrat","montserrat","$8,900,000","1997",200,"Central America and the Caribbean"
"Wallis and Futuna","wallis-and-futuna","$3,670,000","2004",201,"Australia and Oceania"
"Niue","niue","$418,000","2002",202,"Australia and Oceania"
"Macau","macau","$0","31 December 2013",203,"East and Southeast Asia"
"Falkland Islands (Islas Malvinas)","falkland-islands-islas-malvinas","$0","2017",204,"South America"
"Andorra","andorra","$0","2016",205,"Europe"
"Brunei","brunei","$0","2014",206,"East and Southeast Asia"
"Liechtenstein","liechtenstein","$0","2015",207,"Europe"